Criteria,City,Week,Value
К1,Москва,Н1,0.685
К1,Москва,Н2,0.624
К1,Москва,Н3,0.6
К1,Москва,Н4,0.413
К1,Москва,Н5,0.712
К1,Москва,Н6,0.887
К1,Москва,Н7,0.843
К1,Москва,Н8,0.707
К1,Москва,Н9,0.538
К1,Москва,Н10,0.769
К1,Москва,Н11,0.663
К1,Москва,Н12,0.712
К1,Москва,Н13,0.769
К1,Москва,Н14,0.609
К1,Москва,Н15,0.639
К1,Москва,Н16,0.571
К1,Москва,Н17,0.716
К1,Москва,Н18,0.714
К1,Москва,Н19,0.754
К1,Москва,Н20,0.817
К1,Москва,Н21,0.739
К1,Москва,Н22,0.78
К1,Москва,Н23,0.667
К1,Москва,Н24,0.738
К1,Москва,Н25,0.841
К1,Москва,Н26,0.735
К1,Москва,Н27,0.707
К1,Москва,Н28,0.803
К1,Москва,Н29,0.88
К1,Москва,Н30,0.851
К1,Москва,Н31,0.768
К1,Москва,Н32,0.893
К1,Москва,Н33,0.885
К1,Москва,Н34,0.959
К1,Москва,Н35,0.978
К1,Москва,Н36,0.939
К1,Москва,Н37,1.561
К1,Москва,Н38,1.062
К1,Москва,Н39,0.974
К1,Москва,Н40,0.945
К1,Москва,Н41,1.001
К1,Москва,Н42,1.202
К1,Москва,Н43,0.553
К1,Москва,Н44,0.692
К1,Москва,Н45,0.995
К1,Москва,Н46,1.05
К1,Москва,Н47,1.129
К1,Москва,Н48,1.125
К1,Москва,Н49,1.019
К1,Москва,Н50,0.983
К1,Москва,Н51,0.793
К1,Москва,Н52,0.782
К2,Москва,Н1,2.749
К2,Москва,Н2,2.747
К2,Москва,Н3,2.633
К2,Москва,Н4,3.184
К2,Москва,Н5,4.072
К2,Москва,Н6,4.557
К2,Москва,Н7,4.779
К2,Москва,Н8,4.553
К2,Москва,Н9,4.693
К2,Москва,Н10,4.852
К2,Москва,Н11,5.684
К2,Москва,Н12,5.447
К2,Москва,Н13,5.02
К2,Москва,Н14,4.108
К2,Москва,Н15,4.245
К2,Москва,Н16,3.644
К2,Москва,Н17,3.701
К2,Москва,Н18,3.536
К2,Москва,Н19,3.55
К2,Москва,Н20,3.632
К2,Москва,Н21,3.372
К2,Москва,Н22,3.478
К2,Москва,Н23,3.48
К2,Москва,Н24,3.444
К2,Москва,Н25,3.479
К2,Москва,Н26,3.427
К2,Москва,Н27,3.654
К2,Москва,Н28,3.873
К2,Москва,Н29,4.083
К2,Москва,Н30,3.974
К2,Москва,Н31,4.045
К2,Москва,Н32,4.702
К2,Москва,Н33,4.975
К2,Москва,Н34,4.998
К2,Москва,Н35,5.446
К2,Москва,Н36,5.581
К2,Москва,Н37,5.387
К2,Москва,Н38,5.318
К2,Москва,Н39,4.809
К2,Москва,Н40,4.476
К2,Москва,Н41,4.096
К2,Москва,Н42,4.133
К2,Москва,Н43,3.265
К2,Москва,Н44,4.939
К2,Москва,Н45,4.849
К2,Москва,Н46,5.17
К2,Москва,Н47,5.323
К2,Москва,Н48,5.328
К2,Москва,Н49,5.278
К2,Москва,Н50,4.408
К2,Москва,Н51,4.584
К2,Москва,Н52,4.344
К3,Москва,Н1,17.307
К3,Москва,Н2,13.944
К3,Москва,Н3,13.326
К3,Москва,Н4,10.905
К3,Москва,Н5,14.057
К3,Москва,Н6,12.276
К3,Москва,Н7,16.911
К3,Москва,Н8,17.378
К3,Москва,Н9,17.761
К3,Москва,Н10,20.078
К3,Москва,Н11,22.073
К3,Москва,Н12,25.332
К3,Москва,Н13,22.255
К3,Москва,Н14,20.887
К3,Москва,Н15,23.736
К3,Москва,Н16,25.348
К3,Москва,Н17,19.224
К3,Москва,Н18,23.557
К3,Москва,Н19,20.046
К3,Москва,Н20,19.227
К3,Москва,Н21,18.959
К3,Москва,Н22,19.293
К3,Москва,Н23,19.113
К3,Москва,Н24,19.259
К3,Москва,Н25,17.966
К3,Москва,Н26,17.07
К3,Москва,Н27,15.656
К3,Москва,Н28,15.261
К3,Москва,Н29,14.903
К3,Москва,Н30,14.953
К3,Москва,Н31,16.074
К3,Москва,Н32,16.107
К3,Москва,Н33,16.664
К3,Москва,Н34,17.678
К3,Москва,Н35,18.063
К3,Москва,Н36,21.045
К3,Москва,Н37,18.932
К3,Москва,Н38,17.043
К3,Москва,Н39,18.468
К3,Москва,Н40,20.269
К3,Москва,Н41,20.324
К3,Москва,Н42,17.751
К3,Москва,Н43,11.568
К3,Москва,Н44,14.467
К3,Москва,Н45,23.422
К3,Москва,Н46,23.124
К3,Москва,Н47,21.845
К3,Москва,Н48,20.1
К3,Москва,Н49,19.872
К3,Москва,Н50,25.328
К3,Москва,Н51,21.121
К3,Москва,Н52,24.587
К4,Москва,Н1,42.851
К4,Москва,Н2,36.863
К4,Москва,Н3,26.066
К4,Москва,Н4,22.077
К4,Москва,Н5,20.536
К4,Москва,Н6,22.285
К4,Москва,Н7,26.792
К4,Москва,Н8,27.122
К4,Москва,Н9,30.114
К4,Москва,Н10,33.168
К4,Москва,Н11,37.045
К4,Москва,Н12,39.685
К4,Москва,Н13,35.703
К4,Москва,Н14,35.047
К4,Москва,Н15,38.427
К4,Москва,Н16,37.482
К4,Москва,Н17,38.772
К4,Москва,Н18,38.367
К4,Москва,Н19,43.508
К4,Москва,Н20,45.318
К4,Москва,Н21,45.762
К4,Москва,Н22,46.308
К4,Москва,Н23,47.492
К4,Москва,Н24,54.108
К4,Москва,Н25,50.395
К4,Москва,Н26,47.367
К4,Москва,Н27,46.85
К4,Москва,Н28,45.065
К4,Москва,Н29,45.59
К4,Москва,Н30,45.336
К4,Москва,Н31,50.492
К4,Москва,Н32,50.802
К4,Москва,Н33,49.841
К4,Москва,Н34,50.515
К4,Москва,Н35,54.808
К4,Москва,Н36,50.82
К4,Москва,Н37,48.945
К4,Москва,Н38,50.318
К4,Москва,Н39,47.32
К4,Москва,Н40,45.395
К4,Москва,Н41,44.194
К4,Москва,Н42,37.939
К4,Москва,Н43,28.163
К4,Москва,Н44,43.913
К4,Москва,Н45,48.157
К4,Москва,Н46,48.639
К4,Москва,Н47,52.247
К4,Москва,Н48,52.813
К4,Москва,Н49,48.974
К4,Москва,Н50,41.532
К4,Москва,Н51,41.472
К4,Москва,Н52,39.269
К5,Москва,Н1,33.748
К5,Москва,Н2,43.857
К5,Москва,Н3,43.975
К5,Москва,Н4,52.438
К5,Москва,Н5,50
К5,Москва,Н6,56.598
К5,Москва,Н7,42.718
К5,Москва,Н8,35.227
